country_code,team,team_code,season,year,league_tier,league_games,league_points,group,group_games,group_points,lat,lon
UKR,Nyva Ternopil,NTP,2020/21,2020,2,30,31,,,,49.5529804294775,25.6092576033389
UKR,Nyva Ternopil,NTP,2021/22,2021,2,20,29,,,,49.5529804294775,25.6092576033389
UKR,Nyva Ternopil,NTP,2022/23,2022,2,14,20,1,14,8,49.5529804294775,25.6092576033389
UKR,Nyva Ternopil,NTP,2023/24,2023,2,18,20,2,10,16,49.5529804294775,25.6092576033389
UKR,Nyva Ternopil,NTP,2024/25,2024,2,14,16,2,10,16,49.5529804294775,25.6092576033389
UKR,MFK Metalurg Zaporizhya,MZZ,2018/19,2018,3,27,56,,,,47.8595953273484,35.0969363112181
UKR,MFK Metalurg Zaporizhya,MZZ,2019/20,2019,2,30,22,,,,47.8595953273484,35.0969363112181
UKR,MFK Metalurg Zaporizhya,MZZ,2020/21,2020,3,22,43,,,,47.8595953273484,35.0969363112181
UKR,MFK Metalurg Zaporizhya,MZZ,2021/22,2021,3,19,45,,,,47.8595953273484,35.0969363112181
UKR,MFK Metalurg Zaporizhya,MZZ,2022/23,2022,2,14,20,1,14,21,47.8595953273484,35.0969363112181
UKR,MFK Metalurg Zaporizhya,MZZ,2023/24,2023,2,18,25,2,10,3,47.8595953273484,35.0969363112181
UKR,MFK Metalurg Zaporizhya,MZZ,2024/25,2024,2,16,17,2,10,9,47.8595953273484,35.0969363112181
UKR,Podillya Khmelnytskyi,POD,2018/19,2018,3,27,25,,,,49.4208128153845,26.9954224638787
UKR,Podillya Khmelnytskyi,POD,2019/20,2019,3,20,29,,,,49.4208128153845,26.9954224638787
UKR,Podillya Khmelnytskyi,POD,2020/21,2020,3,24,57,,,,49.4208128153845,26.9954224638787
UKR,Podillya Khmelnytskyi,POD,2021/22,2021,2,20,26,,,,49.4208128153845,26.9954224638787
UKR,Podillya Khmelnytskyi,POD,2022/23,2022,,,,,,,49.4208128153845,26.9954224638787
UKR,Podillya Khmelnytskyi,POD,2023/24,2023,2,18,20,2,10,19,49.4208128153845,26.9954224638787
UKR,Podillya Khmelnytskyi,POD,2024/25,2024,2,14,8,2,10,16,49.4208128153845,26.9954224638787
